task,method,demo_count,seed,trial_id,success,failure_type
开箱/开柜,Ours,24,4,开箱_开柜_045,1,None
开箱/开柜,Ours,24,0,开箱_开柜_046,0,Contact
开箱/开柜,Ours,24,1,开箱_开柜_047,1,None
开箱/开柜,Ours,24,2,开箱_开柜_048,1,None
开箱/开柜,Ours,24,3,开箱_开柜_049,1,None
开箱/开柜,Ours,24,4,开箱_开柜_050,1,None
开箱/开柜,Ours,24,0,开箱_开柜_051,1,None
开箱/开柜,Ours,24,1,开箱_开柜_052,1,None
开箱/开柜,Ours,24,2,开箱_开柜_053,1,None
开箱/开柜,Ours,24,3,开箱_开柜_054,1,None
开箱/开柜,Ours,24,4,开箱_开柜_055,1,None
开箱/开柜,Ours,24,0,开箱_开柜_056,1,None
开箱/开柜,Ours,24,1,开箱_开柜_057,0,Temporal inconsistency
开箱/开柜,Ours,24,2,开箱_开柜_058,0,Reachability
开箱/开柜,Ours,24,3,开箱_开柜_059,1,None
开箱/开柜,Ours,24,4,开箱_开柜_060,1,None
开微波炉,Ours,8,0,开微波炉_001,0,Contact
开微波炉,Ours,8,1,开微波炉_002,1,None
开微波炉,Ours,8,2,开微波炉_003,1,None
开微波炉,Ours,8,3,开微波炉_004,1,None
开微波炉,Ours,8,4,开微波炉_005,1,None
开微波炉,Ours,8,0,开微波炉_006,1,None
开微波炉,Ours,8,1,开微波炉_007,0,Contact
开微波炉,Ours,8,2,开微波炉_008,0,Reachability
开微波炉,Ours,8,3,开微波炉_009,1,None
开微波炉,Ours,8,4,开微波炉_010,1,None
开微波炉,Ours,8,0,开微波炉_011,1,None
开微波炉,Ours,8,1,开微波炉_012,0,Reachability
开微波炉,Ours,8,2,开微波炉_013,1,None
开微波炉,Ours,8,3,开微波炉_014,1,None
开微波炉,Ours,8,4,开微波炉_015,1,None
开微波炉,Ours,8,0,开微波炉_016,1,None
开微波炉,Ours,8,1,开微波炉_017,1,None
开微波炉,Ours,8,2,开微波炉_018,0,Contact
开微波炉,Ours,8,3,开微波炉_019,1,None
开微波炉,Ours,8,4,开微波炉_020,1,None
开微波炉,Ours,8,0,开微波炉_021,1,None
开微波炉,Ours,8,1,开微波炉_022,0,Contact
开微波炉,Ours,8,2,开微波炉_023,0,Collision/safety stop
开微波炉,Ours,8,3,开微波炉_024,1,None
开微波炉,Ours,8,4,开微波炉_025,1,None
开微波炉,Ours,8,0,开微波炉_026,1,None
开微波炉,Ours,8,1,开微波炉_027,1,None
开微波炉,Ours,8,2,开微波炉_028,1,None
开微波炉,Ours,8,3,开微波炉_029,1,None
开微波炉,Ours,8,4,开微波炉_030,1,None
开微波炉,Ours,8,0,开微波炉_031,1,None
开微波炉,Ours,8,1,开微波炉_032,1,None
开微波炉,Ours,8,2,开微波炉_033,1,None
开微波炉,Ours,8,3,开微波炉_034,1,None
开微波炉,Ours,8,4,开微波炉_035,1,None
开微波炉,Ours,8,0,开微波炉_036,1,None
开微波炉,Ours,8,1,开微波炉_037,1,None
开微波炉,Ours,8,2,开微波炉_038,1,None
开微波炉,Ours,8,3,开微波炉_039,1,None
开微波炉,Ours,8,4,开微波炉_040,1,None
多步骤取放,Ours,18,0,多步骤取放_001,1,None
多步骤取放,Ours,18,1,多步骤取放_002,0,Collision/safety stop
多步骤取放,Ours,18,2,多步骤取放_003,0,Temporal inconsistency
多步骤取放,Ours,18,3,多步骤取放_004,1,None
多步骤取放,Ours,18,4,多步骤取放_005,0,Perception
多步骤取放,Ours,18,0,多步骤取放_006,1,None
多步骤取放,Ours,18,1,多步骤取放_007,1,None
多步骤取放,Ours,18,2,多步骤取放_008,1,None
多步骤取放,Ours,18,3,多步骤取放_009,1,None
多步骤取放,Ours,18,4,多步骤取放_010,1,None
多步骤取放,Ours,18,0,多步骤取放_011,1,None
多步骤取放,Ours,18,1,多步骤取放_012,1,None
多步骤取放,Ours,18,2,多步骤取放_013,1,None
多步骤取放,Ours,18,3,多步骤取放_014,1,None
多步骤取放,Ours,18,4,多步骤取放_015,1,None
多步骤取放,Ours,18,0,多步骤取放_016,0,Contact
多步骤取放,Ours,18,1,多步骤取放_017,1,None
多步骤取放,Ours,18,2,多步骤取放_018,1,None
多步骤取放,Ours,18,3,多步骤取放_019,1,None
多步骤取放,Ours,18,4,多步骤取放_020,1,None
多步骤取放,Ours,18,0,多步骤取放_021,0,Temporal inconsistency
多步骤取放,Ours,18,1,多步骤取放_022,1,None
多步骤取放,Ours,18,2,多步骤取放_023,1,None
多步骤取放,Ours,18,3,多步骤取放_024,1,None
多步骤取放,Ours,18,4,多步骤取放_025,1,None
多步骤取放,Ours,18,0,多步骤取放_026,1,None
多步骤取放,Ours,18,1,多步骤取放_027,1,None
多步骤取放,Ours,18,2,多步骤取放_028,1,None
多步骤取放,Ours,18,3,多步骤取放_029,1,None
多步骤取放,Ours,18,4,多步骤取放_030,1,None
多步骤取放,Ours,18,0,多步骤取放_031,0,Temporal inconsistency
多步骤取放,Ours,18,1,多步骤取放_032,1,None
多步骤取放,Ours,18,2,多步骤取放_033,1,None
多步骤取放,Ours,18,3,多步骤取放_034,1,None
多步骤取放,Ours,18,4,多步骤取放_035,0,Temporal inconsistency
多步骤取放,Ours,18,0,多步骤取放_036,1,None
多步骤取放,Ours,18,1,多步骤取放_037,1,None
多步骤取放,Ours,18,2,多步骤取放_038,1,None
多步骤取放,Ours,18,3,多步骤取放_039,1,None
多步骤取放,Ours,18,4,多步骤取放_040,0,Perception
多步骤取放,Ours,18,0,多步骤取放_041,1,None
多步骤取放,Ours,18,1,多步骤取放_042,1,None
多步骤取放,Ours,18,2,多步骤取放_043,0,Contact
多步骤取放,Ours,18,3,多步骤取放_044,1,None
多步骤取放,Ours,18,4,多步骤取放_045,1,None
多步骤取放,Ours,18,0,多步骤取放_046,1,None
多步骤取放,Ours,18,1,多步骤取放_047,0,Contact
多步骤取放,Ours,18,2,多步骤取放_048,1,None
多步骤取放,Ours,18,3,多步骤取放_049,1,None
多步骤取放,Ours,18,4,多步骤取放_050,1,None
