task,method,round,seed_count,candidate_rollouts,accepted_rollouts,rejected_rollouts,acceptance_rate_pct,total_rejection_rate_pct,collision_trigger_rate_pct,workspace_trigger_rate_pct,articulation_trigger_rate_pct,visibility_trigger_rate_pct,smoothness_trigger_rate_pct
Multi-step retrieval,Random-Aug,5,5,800,371,429,46.38,53.62,30.71,9.18,10.93,7.36,7.75
Multi-step retrieval,Random-Aug,6,5,840,388,452,46.19,53.81,31.03,9.34,11.10,7.92,8.23
Multi-step retrieval,Scene-Aug w/o structure,0,5,600,387,213,64.50,35.50,16.54,4.89,6.53,4.07,5.07
Multi-step retrieval,Scene-Aug w/o structure,1,5,640,443,197,69.22,30.78,18.07,5.20,7.81,4.35,4.42
Multi-step retrieval,Scene-Aug w/o structure,2,5,680,470,210,69.12,30.88,18.06,5.28,7.07,4.41,4.77
Multi-step retrieval,Scene-Aug w/o structure,3,5,720,516,204,71.67,28.33,17.96,5.48,7.57,4.58,4.76
Multi-step retrieval,Scene-Aug w/o structure,4,5,760,560,200,73.68,26.32,21.04,5.83,7.53,5.56,4.79
Multi-step retrieval,Scene-Aug w/o structure,5,5,800,587,213,73.38,26.62,21.19,5.08,6.73,3.76,4.80
Multi-step retrieval,Scene-Aug w/o structure,6,5,840,607,233,72.26,27.74,21.57,5.33,7.39,3.77,4.42
Pick-place,Ours,0,5,600,468,132,78.00,22.00,5.12,2.58,1.26,2.19,1.66
Pick-place,Ours,1,5,640,534,106,83.44,16.56,5.95,2.24,1.26,1.79,2.08
Pick-place,Ours,2,5,680,606,74,89.12,10.88,6.89,2.31,1.31,1.86,1.39
Pick-place,Ours,3,5,720,671,49,93.19,6.81,8.94,2.38,1.33,2.28,2.03
Pick-place,Ours,4,5,760,706,54,92.89,7.11,7.39,2.43,0.94,2.33,2.19
Pick-place,Ours,5,5,800,751,49,93.88,6.12,9.59,2.86,1.10,2.03,1.99
Pick-place,Ours,6,5,840,802,38,95.48,4.52,10.91,2.33,1.05,2.43,1.29
Pick-place,Random-Aug,0,5,600,215,385,35.83,64.17,26.51,10.23,12.06,7.88,7.78
Pick-place,Random-Aug,1,5,640,259,381,40.47,59.53,26.93,9.06,11.68,7.43,8.50
Pick-place,Random-Aug,2,5,680,285,395,41.91,58.09,28.80,9.47,11.20,7.35,8.46
Pick-place,Random-Aug,3,5,720,316,404,43.89,56.11,28.56,9.50,11.28,7.53,7.90
Pick-place,Random-Aug,4,5,760,335,425,44.08,55.92,30.15,9.20,10.75,7.83,8.49
Pick-place,Random-Aug,5,5,800,357,443,44.62,55.38,32.19,9.31,11.23,7.83,8.69
Pick-place,Random-Aug,6,5,840,406,434,48.33,51.67,32.63,9.53,11.06,7.92,8.44
Pick-place,Scene-Aug w/o structure,0,5,600,405,195,67.50,32.50,15.89,5.14,7.15,4.80,4.37
Pick-place,Scene-Aug w/o structure,1,5,640,439,201,68.59,31.41,16.52,5.32,7.60,4.49,5.43
Pick-place,Scene-Aug w/o structure,2,5,680,473,207,69.56,30.44,17.45,5.45,7.49,4.18,4.67
Pick-place,Scene-Aug w/o structure,3,5,720,502,218,69.72,30.28,18.19,5.15,7.96,4.87,5.40
Pick-place,Scene-Aug w/o structure,4,5,760,549,211,72.24,27.76,19.34,4.91,6.68,4.84,5.13
Pick-place,Scene-Aug w/o structure,5,5,800,594,206,74.25,25.75,21.00,5.78,6.60,4.70,5.28
Pick-place,Scene-Aug w/o structure,6,5,840,623,217,74.17,25.83,21.64,5.45,7.48,4.73,4.65
